"username","anime_id","my_watched_episodes","my_start_date","my_finish_date","my_score","my_status","my_rewatching","my_rewatching_ep","my_last_updated","my_tags"
"glittermilk",10456,3,"0000-00-00","0000-00-00",3,4,NA,0,1321919537,""
"SaberWolfKaiNi",24031,12,"2017-03-11","2017-03-15",8,2,0,0,1489552074,""
"asksam",3927,25,"0000-00-00","2009-09-01",8,2,0,0,1251794676,""
"SaberWolfKaiNi",28883,12,"2017-06-28","2017-06-28",9,2,0,0,1498702317,""
"SaberWolfKaiNi",24075,0,"0000-00-00","0000-00-00",0,6,0,0,1494312234,""
"asksam",53,24,"0000-00-00","0000-00-00",5,2,0,0,1216091000,""
"misumimi",199,1,"0000-00-00","0000-00-00",10,2,0,0,1344386377,""
"zZKinhoZz",33733,4,"2018-04-20","0000-00-00",0,1,0,0,1525270914,""
"SaberWolfKaiNi",33206,8,"2017-04-18","0000-00-00",0,3,0,0,1492530027,""
"SaberWolfKaiNi",5341,0,"0000-00-00","0000-00-00",0,6,0,0,1494311898,""
"asksam",2246,12,"0000-00-00","0000-00-00",9,2,0,0,1249858482,""
"zZKinhoZz",457,0,"0000-00-00","0000-00-00",0,6,0,0,1520362498,""
"fluffylonewolf",71,0,"0000-00-00","0000-00-00",0,6,0,0,1358741464,""
"misumimi",329,3,"0000-00-00","0000-00-00",0,3,NA,0,1406904473,""
"asksam",6547,13,"0000-00-00","0000-00-00",6,2,0,0,1481326200,""
"asksam",1691,24,"0000-00-00","0000-00-00",7,2,0,0,1222466073,""
"SaberWolfKaiNi",28387,12,"2017-07-09","2017-07-09",8,2,0,0,1499583057,""
"asksam",15,0,"0000-00-00","0000-00-00",0,4,0,0,1309784880,""
"fluffylonewolf",191,1,"0000-00-00","0000-00-00",10,2,0,0,1357239433,""
"asksam",394,12,"0000-00-00","0000-00-00",5,2,0,0,1216172088,""
"Akihara",19363,11,"2014-01-11","2014-03-28",8,2,NA,0,1396015122,""
"scootarski",2130,0,"0000-00-00","0000-00-00",0,6,0,0,1205109522,""
"Akihara",2515,1,"2013-11-03","2013-11-03",10,2,NA,0,1383478166,""
"scootarski",1225,3,"0000-00-00","2008-03-11",4,2,0,0,1205289996,""
"Goudarz",18897,20,"0000-00-00","0000-00-00",7,2,0,0,1487276247,""
"bruital-legend",121,51,"0000-00-00","0000-00-00",8,2,0,0,1342109802,""
"scootarski",1210,0,"0000-00-00","0000-00-00",0,6,0,0,1195440009,""
"Goudarz",5507,0,"0000-00-00","0000-00-00",0,6,NA,0,1315810597,""
"Akihara",32365,1,"2016-07-07","2016-07-07",10,2,0,0,1467886390,""
"Akihara",31376,12,"2017-04-07","2017-04-08",8,2,0,0,1491637579,""
"scootarski",1536,4,"0000-00-00","0000-00-00",0,6,NA,0,1211046967,""
"scootarski",2251,13,"0000-00-00","0000-00-00",9,2,0,0,0,""
"Tomoki-sama",2904,25,"0000-00-00","0000-00-00",10,2,NA,0,1445660417,""
"Akihara",65,12,"0000-00-00","0000-00-00",8,2,0,0,1219137557,""
"Akihara",34550,12,"2017-04-04","2017-06-19",6,2,0,0,1497891477,""
"Cheek16",9055,4,"2010-11-18","2010-12-11",6,2,NA,0,1292093684,""
"Cheek16",186,13,"2010-12-12","2010-12-13",9,2,NA,0,1292277733,""
"Akihara",594,1,"0000-00-00","0000-00-00",7,2,0,0,1233762153,""
"Lithuelle",28223,12,"0000-00-00","2015-03-28",10,2,NA,0,1427564378,""
"Goudarz",6209,0,"0000-00-00","0000-00-00",0,6,NA,0,1315811536,""
"Tomoki-sama",37799,0,"0000-00-00","0000-00-00",0,6,0,0,1525539671,""
"raickos",527,276,"0000-00-00","0000-00-00",9,3,0,0,1280722804,""
"Johnny_FBI",47,1,"0000-00-00","0000-00-00",8,2,0,0,1248454595,""
"Sakurei",15583,12,"0000-00-00","2013-06-16",2,2,0,0,1371427987,""
"Sakurei",5678,24,"2009-10-07","2010-07-29",4,2,0,0,1280442488,""
"Johnny_FBI",11757,25,"0000-00-00","0000-00-00",7,2,NA,0,1403105201,""
"Sakurei",3667,12,"2010-07-26","2010-07-26",6,2,0,0,1280209196,""
"Sakurei",587,6,"0000-00-00","0000-00-00",6,2,0,0,1236805136,""
"Tomoki-sama",31181,0,"0000-00-00","0000-00-00",0,6,0,0,1448411694,""
"Tomoki-sama",31478,12,"0000-00-00","2016-06-29",10,2,0,0,1467175087,""
"Sakurei",10620,26,"0000-00-00","2012-04-17",5,2,0,0,1334685587,""
"Sakurei",109,0,"0000-00-00","0000-00-00",0,6,0,0,1236807595,""
"Tomoki-sama",34599,0,"0000-00-00","0000-00-00",0,6,0,0,1500610992,""
"Johnny_FBI",777,10,"0000-00-00","0000-00-00",9,2,NA,0,1405954914,""
"Tomoki-sama",11285,8,"0000-00-00","0000-00-00",9,2,0,0,1363459025,""
"Johnny_FBI",1379,1,"0000-00-00","0000-00-00",9,2,0,0,1283159088,""
"Sakurei",2889,1,"0000-00-00","0000-00-00",3,2,0,0,1236804132,""
"Sakurei",5958,13,"2009-10-06","2009-12-29",8,2,0,0,1262090075,""
"Johnny_FBI",6702,92,"2011-10-16","0000-00-00",6,3,0,0,1346606308,""
"Johnny_FBI",18039,0,"0000-00-00","0000-00-00",0,6,0,0,1371889840,""
"Perfection_Freak",120,1,"2014-11-17","0000-00-00",0,3,0,0,1416193840,""
"xXsim00Xx",121,51,"0000-00-00","0000-00-00",10,2,0,0,1401448237,""
"K_P",21603,0,"0000-00-00","0000-00-00",0,6,0,0,1516819674,""
"K_P",11635,1,"0000-00-00","0000-00-00",8,2,0,0,1518853795,""
"josh62",813,291,"0000-00-00","0000-00-00",7,2,NA,0,1387093509,""
"Perfection_Freak",7059,1,"2010-08-09","2010-08-09",7,2,0,0,1281297668,""
"Perfection_Freak",32899,12,"2016-10-10","2017-03-13",8,2,0,0,1489386961,""
"CarinaLuna",877,0,"2015-08-30","0000-00-00",0,6,0,0,1440944797,""
"K_P",12729,2,"0000-00-00","0000-00-00",8,2,0,0,1509221306,""
"LyannaStark",1827,2,"0000-00-00","0000-00-00",8,3,NA,0,1250475561,""
"K_P",1860,0,"0000-00-00","0000-00-00",0,3,0,0,1518966548,""
"Perfection_Freak",11741,12,"2012-05-04","2012-11-30",9,2,NA,0,1354260417,""
"AAA",1887,24,"0000-00-00","0000-00-00",10,2,0,0,1203523164,""
"josh62",5630,11,"0000-00-00","0000-00-00",7,2,0,0,1387092966,""
"Spike",34103,1,"0000-00-00","0000-00-00",0,2,0,0,1477898972,""
"xXsim00Xx",6166,12,"0000-00-00","0000-00-00",6,2,0,0,1418818116,""
"Spike",22535,24,"0000-00-00","0000-00-00",9,2,0,0,1460320361,""
"K_P",34279,17,"0000-00-00","0000-00-00",10,1,0,0,1526067937,""
"Spike",10568,12,"0000-00-00","0000-00-00",0,2,0,0,1521529895,""
